"EFORSCDCID","FoodCategoryName","ContaminatedIngredient"
2252,"cake, brownie",
2252,"dessert, other *****",
2253,"fried rice, unspecified",
2254,"carrots, unspecified",
2254,"chicken, nuggets/fingers",
2254,"french fries",
2255,"sandwich, cucumber",
2257,"vegetable dip, unspecified",
2258,"celery, unspecified",
2258,"deli tray",
2258,"vegetable dip, unspecified",
2259,"green onion/scallion",
2260,"ground beef, unspecified","Beef"
2261,"tomato, unspecified","Vine-stalk  eg. tomato"
2263,"ground beef, hamburger","Beef"
2264,"deli meat, sliced turkey","Turkey"
2265,"homemade cheese, unpasteurized","Milk"
2266,"cantaloupe",
2268,"mung bean sprouts","Sprouts"
2269,"orange juice, unpasteurized","Fruit"
2270,"pasta salad",
2270,"potato salad",
2270,"vegetable-based salads unspecified",
2271,"bean dip",
2273,"crab salad",
2277,"cake, unspecified",
2277,"mostaccioli, unspecified",
2289,"lettuce-based salads unspecified",
2289,"pasta, unspecified",
2290,"mostaccioli, unspecified",
2295,"ground beef, sloppy joe",
2297,"chicken, unspecified",
2313,"cake, unspecified",
2324,"salad dressing, unspecified","Sauces/ Dressings"
2324,"salad, unspecified","Leafy (eg. lettuce)"
2329,"chicken, unspecified",
2329,"coleslaw",
2336,"cake, unspecified",
2336,"potato, mashed",
2347,"eggs, unspecified","Eggs"
2352,"cake, unspecified",
2355,"multiple foods",
2363,"pizza, meat",
2372,"lettuce-based salads unspecified",
2382,"noodles, unspecified",
2382,"unknown fruit",
2388,"taco or nacho salad",
2396,"tuna, unspecified","Fin fish"
2403,"couscous",
2413,"ham, unspecified",
2417,"sushi, unspecified",
2420,"sushi, unspecified",
2422,"sandwich, steak",
2423,"salad, unspecified",
2423,"soda, unspecified",
2428,"cake, unspecified",
2428,"frosting/icing, unspecified",
2429,"crab cakes",
2438,"chicken salad",
2439,"chicken, other",
2486,"condiment, unspecified",
2494,"tuna steak",
2502,"sandwich, lobster roll",
2503,"pasta salad",
2503,"unspecified fruit",
2504,"mussels, unspecified",
