"EFORSCDCID","OtherCounties"
12960,"Erie"
12960,"Westchester"
12960,"Dutchess"
12960,"Oneida"
12960,"Ulster"
12975,"Bullitt"
12975,"Oldham"
12975,"Shelby"
12976,"Ritchie"
13031,"Calhoun"
13031,"Mobile"
13046,"Middlesex"
13046,"Union"
13046,"Sussex"
13046,"Somerset"
13046,"Morris"
13046,"Ocean"
13046,"Warren"
13046,"Hunterdon"
13046,"Hudson"
13046,"Essex"
13046,"Burlington"
13046,"Bergen"
13046,"Atlantic"
13046,"Passaic"
13046,"Mercer"
13064,"Henry"
13070,"Lauderdale"
13073,"Sandusky"
13103,"Mercer"
13137,"Worcester"
13145,"Rowan"
13145,"Rutherford"
13146,"Guilford"
13146,"Watauga"
13148,"Accomack"
13151,"Dakota"
13151,"Ramsey"
13159,"Shelby"
13159,"Cumberland"
13159,"Jasper"
13160,"Cook"
13164,"Lee"
13176,"Multnomah"
13176,"Yamhill"
13189,"Champaign"
13189,"Edwards"
13189,"Franklin"
13189,"Perry"
13197,"Fairfax"
13197,"Henrico"
13197,"New Kent"
13230,"Durham"
13237,"Cape Girardeau"
13239,"Davidson"
13244,"Knox"
13244,"Bureau"
13244,"McLean"
13244,"Putnam"
13244,"Logan"
13244,"Lee"
13244,"La Salle"
13244,"Kendall"
13244,"Henry"
13244,"Douglas"
13244,"Cumberland"
13244,"Cook"
13244,"Champaign"
13244,"Coles"
13259,"Allen"
13259,"Shawnee"
13259,"Leavenworth"
13259,"Anderson"
13259,"Douglas"
13259,"Hodgeman"
13260,"Hillsborough"
13275,"Woodson"
13275,"Coffey"
13275,"Neosho"
13282,"Middlesex"
13299,"Fulton"
13300,"Etowah"
13300,"Cherokee"
13325,"Tuscarawas"
13325,"Stark"
13335,"Cheyenne"
13337,"Monterey"
13338,"Orange"
13349,"New York"
13349,"Queens"
13353,"Williamson"
13360,"Plymouth"
13360,"Barnstable"
13381,"Weld"
13382,"Cheatham"
13436,"Plymouth"
13436,"Suffolk"
13463,"Oakland"
13469,"Fairfax"
13469,"Prince William"
13473,"Washington"
13477,"Miami"
13477,"Riley"
13478,"Northampton"
13478,"Dauphin"
13478,"Delaware"
13478,"Elk"
13478,"McKean"
13503,"DuPage"
13503,"Kane"
13516,"Johnson"
13516,"Wyandotte"
13526,"Middlesex"
13526,"Fairfield"
13526,"Litchfield"
13530,"Lehigh"
13531,"Knox"
13536,"Gasconade"
13536,"Jefferson"
13536,"St. Louis City"
13544,"Adams"
13544,"Arapahoe"
13544,"Boulder"
13544,"Denver"
13544,"Douglas"
13544,"Larimer"
13551,"DuPage"
13551,"Kane"
13551,"McHenry"
13557,"Jefferson"
13557,"St. Charles"
13561,"Suffolk"
13588,"Summit"
13588,"Belmont"
13588,"Cuyahoga"
13588,"Franklin"
13597,"Reno"
13612,"Franklin"
